id,name,translation,file,sounds,ini
-1,100,,100.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,1000,,1000.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,120,,120.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,140,,140.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,150,,150.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,160,,160.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,180,,180.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,200,,200.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,250,,250.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,30,,30.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,300,,300.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,350,,350.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,40,,40.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,400,,400.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,450,,450.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,50,,50.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,500,,500.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,60,,60.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,600,,600.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,70,,70.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,700,,700.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,80,,80.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,800,,800.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,900,,900.ogg,1,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini
-1,AND,And,and.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,AND,And,and.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_ADJUST,Callout Adjust,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_ADJUST,Callout Adjust,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_DISTANCE,Callout Distance,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_DISTANCE,Callout Distance,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_TIME,Callout Time,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,CALLOUT_TIME,Callout Time,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,CAUTION_WATER,Caution Water,caution_water.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/cautions/Extended.ini
-1,CAUTION_WATER,Caution Water,caution_water.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/cautions/Extended.ini
-1,CUT,Cut,cut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,CUT,Cut,cut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,CUT,Cut,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,CUT,Cut,cut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/line/Extended.ini
-1,DISTANCE_CALL,Distance Call,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,DISTANCE_CALL,Distance Call,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,DONTCUT,Don't Cut,dontcut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,DONTCUT,Don't Cut,dontcut.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/line/Extended.ini
-1,DONTCUT,Don't Cut,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,DONTCUT,Don't Cut,dontcut.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/line/Extended.ini
-1,EMPTY_CALL,Empty Call,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,EMPTY_CALL,Empty Call,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,INTO,Into,into.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,INTO,Into,into.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,LONG,Long,long.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,LONG,Long,long.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,LONG,Long,long.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,LONG,Long,long.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/additional/Extended.ini
-1,MAYBE,Maybe,maybe.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,MAYBE,Maybe,maybe.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/additional/Extended.ini
-1,MAYBE,Maybe,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,MAYBE,Maybe,maybe.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/additional/Extended.ini
-1,NARROWS,Narrows,narrows.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,NARROWS,Narrows,narrows.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,ONTO,Onto,onto.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,ONTO,Onto,onto.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PLACE_HOLDER,Placeholder,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PLACE_HOLDER,Placeholder,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,SOUND_FILE,Sound File,,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,SOUND_FILE,Sound File,,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,SOUND_INDEX,Sound Index,,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
