id,type,category,name,translation,file,sounds,error,ini,file_src_dir,translation-new
-1,RANGE,EXTENDED,100,,100.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundert
-1,RANGE,EXTENDED,1000,,1000.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,eintausend
-1,RANGE,EXTENDED,120,,120.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundertzwanzig
-1,RANGE,EXTENDED,140,,140.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundertvierzig
-1,RANGE,EXTENDED,150,,150.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundertfünfzig
-1,RANGE,EXTENDED,160,,160.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundertsechzig
-1,RANGE,EXTENDED,180,,180.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,einhundertachtzig
-1,RANGE,EXTENDED,200,,200.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,zweihundert
-1,RANGE,EXTENDED,250,,250.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,zweihundertfünfzig
-1,RANGE,EXTENDED,30,,30.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,dreißig
-1,RANGE,EXTENDED,300,,300.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,dreihundert
-1,RANGE,EXTENDED,350,,350.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,dreihundertfünfzig
-1,RANGE,EXTENDED,40,,40.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,vierzig
-1,RANGE,EXTENDED,400,,400.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,vierhundert
-1,RANGE,EXTENDED,450,,450.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,vierhundertfünfzig
-1,RANGE,EXTENDED,50,,50.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,fünfzig
-1,RANGE,EXTENDED,500,,500.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,fünfhundert
-1,RANGE,EXTENDED,60,,60.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,sechzig
-1,RANGE,EXTENDED,600,,600.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,sechshundert
-1,RANGE,EXTENDED,70,,70.ogg,3,,ranges/Rbr.ini/packages/Extended.ini/extended/Extended.ini,assets/bollinger_sounds,siebzig
